Mapname,Bhatia
last_location
Who is creating the Map,Sff
GPS_LAT,12.962870597839355
GPS_LONG,77.65885925292969
calling number,03145471
call duration,1.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
-0.0001,0.0002,2021-02-15 19:34:49.292417
0.0,0.0005,19:34:50
0.0,0.0002,19:34:51
-0.0001,0.0,19:34:52
-0.0003,0.0002,19:34:53
-0.0001,0.0002,19:34:54
0.0008,0.0011,19:34:55
0.0029,0.0007,19:34:56
-0.0022,-0.0006,19:34:57
-0.0005,0.0001,19:34:58
-0.0002,0.0005,19:34:59
-0.0005,0.0001,19:35:00
-0.0005,0.0,19:35:01
-0.0007,-0.0001,19:35:02
-0.0002,0.0005,19:35:03
0.0,0.0004,19:35:04
-0.0002,0.0003,19:35:05
-0.0002,0.0002,19:35:06
-0.0005,0.0,19:35:07
-0.0001,0.0004,19:35:08
-0.0004,-0.0,19:35:09
-0.0005,-0.0001,19:35:10
-0.0001,0.0003,19:35:11
0.0001,0.0006,19:35:12
-0.0002,0.0003,19:35:13
-0.0003,0.0003,19:35:14
