Mapname,Bhatiasroom
last_location
Who is creating the Map,Sff
GPS_LAT,12.962854385375977
GPS_LONG,77.65861511230469
calling number,03145471
call duration,1.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
-0.0006,-0.0006,2021-02-15 19:36:50.060370
-0.0002,-0.0002,19:36:51
-0.0003,-0.0005,19:36:52
-0.0002,-0.0005,19:36:53
-0.0006,-0.0005,19:36:54
0.0,-0.0001,19:36:55
-0.0001,-0.0001,19:36:56
-0.0003,-0.0002,19:36:57
-0.0,-0.0004,19:36:58
-0.0001,-0.0003,19:36:59
0.0003,-0.0009,19:37:00
-0.0002,-0.0002,19:37:01
-0.0001,-0.0004,19:37:02
