Mapname,C
last_location
Who is creating the Map,can I
GPS_LAT,37.422000885009766
GPS_LONG,-122.08401489257812
calling number,999999999
call duration,16.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
3.8832,0.5124,2021-03-14 19:38:18.969609
3.8469,1.1186,19:38:19
4.3077,1.4771,19:38:21
4.6043,1.1811,19:38:22
4.06,0.7916,19:38:23
4.0413,0.138,19:38:24
4.2377,-0.5468,19:38:25
3.9466,-1.2152,19:38:26
3.4159,-1.5261,19:38:27
3.0499,-2.1595,19:38:28
2.8346,-2.775,19:38:29
3.2064,-2.95,19:38:30
3.6712,-2.6314,19:38:31
