Mapname,DilsRoom_distance_based_trigger
last_location
Who is creating the Map,Diljendrajith
GPS_LAT,0.0
GPS_LONG,0.0
calling number,
call duration,0.0
Time-based Trigger,0
Distance-based Trigger,1
X,Y,Timestamp
-0.4736,-0.1608,10:58:30
-0.8839,-0.4486,10:58:32
-1.3686,-0.5744,10:58:33
-1.6211,-0.1416,10:58:35
-1.2249,0.1654,10:58:37
-0.7556,0.3418,10:58:38
-0.3187,0.0983,10:58:40
-0.3544,-0.4022,10:58:41
-0.3685,-0.903,10:58:42
-0.2427,-1.3871,10:58:43
0.1504,-1.6999,10:58:44
-0.2198,-1.3632,10:58:48
-0.4154,-0.9026,10:58:49
-0.5105,-0.4117,10:58:50
-0.099,-0.1277,10:58:53
