Mapname,chris room
last_location
Who is creating the Map,chris
GPS_LAT,37.4219970703125
GPS_LONG,-122.08399963378906
calling number,8887775131
call duration,1.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
0.0537,0.2161,2021-03-12 19:40:21.061125
0.0532,0.2157,19:40:22
0.0522,0.2149,19:40:23
0.0514,0.2149,19:40:24
0.0506,0.2158,19:40:25
0.0494,0.2158,19:40:26
0.0492,0.2151,19:40:27
0.0482,0.2157,19:40:28
0.0477,0.2152,19:40:29
0.0465,0.2152,19:40:30
0.0462,0.2149,19:40:31
0.0464,0.2145,19:40:32
0.0461,0.2147,19:40:33
0.0451,0.2147,19:40:34
0.0449,0.2146,19:40:35
0.0452,0.2151,19:40:36
0.045,0.2149,19:40:37
0.0455,0.2158,19:40:38
0.0455,0.2146,19:40:39
-0.0267,0.1208,19:40:40
-0.0806,0.1752,19:40:41
-0.0599,-0.0555,19:40:42
-0.0356,-0.0937,19:40:43
-0.0322,-0.0813,19:40:44
-0.0308,-0.0799,19:40:45
-0.0302,-0.081,19:40:46
-0.0308,-0.0824,19:40:47
-0.0325,-0.0892,19:40:48
-0.0314,-0.081,19:40:49
-0.0294,-0.0827,19:40:50
-0.0321,-0.087,19:40:51
-0.0295,-0.0824,19:40:52
-0.0303,-0.0796,19:40:53
-0.0307,-0.0784,19:40:54
-0.0309,-0.0781,19:40:55
-0.0308,-0.0784,19:40:56
-0.0307,-0.0782,19:40:57
-0.0306,-0.0781,19:40:58
-0.0304,-0.0785,19:40:59
-0.0302,-0.0792,19:41:00
-0.0308,-0.0794,19:41:01
-0.0302,-0.0793,19:41:02
-0.0298,-0.0786,19:41:03
-0.0302,-0.0786,19:41:04
-0.0303,-0.0789,19:41:05
-0.0301,-0.0788,19:41:06
-0.0311,-0.0781,19:41:07
-0.0303,-0.0787,19:41:08
-0.0305,-0.079,19:41:09
-0.0304,-0.0789,19:41:10
-0.0324,-0.0785,19:41:11
